state,placefp,cbsa,stab,placenm,pop2k,popinmsa,msamdivname,countynumeric,place,cbd_retail_long,cbd_retail_lat,arcgis_match,arcgis_long,arcgis_lat
35,39380,29740,NM,Las Cruces city,74267,74267,"Las Cruces, NM Metropolitan Statistical Area",13,Las Cruces,-106.788,32.311901,M,-106.777847,32.3069
32,40000,29820,NV,Las Vegas city,478434,478434,"Las Vegas-Paradise, NV Metropolitan Statistical Area",3,Las Vegas,-115.141,36.1702,M,-115.139968,36.171911
20,38900,29940,KS,Lawrence city,80098,80098,"Lawrence, KS Metropolitan Statistical Area",45,Lawrence,,,M,-95.23653,38.973063
40,41850,30020,OK,Lawton city,92757,92757,"Lawton, OK Metropolitan Statistical Area",31,Lawton,-98.395599,34.6049,M,-98.38991900000001,34.605181
42,42168,30140,PA,Lebanon city,24461,24461,"Lebanon, PA Metropolitan Statistical Area",75,Lebanon,,,M,-76.425927,40.330193
16,46540,30300,ID,Lewiston city,30904,30904,"Lewiston, ID-WA Metropolitan Statistical Area",69,Lewiston,,,M,-117.016659,46.418649
23,38740,30340,ME,Lewiston city,35690,35690,"Lewiston-Auburn, ME Metropolitan Statistical Area",1,Lewiston,-70.226997,44.0947,M,-70.21834800000001,44.098553
23,38740,30340,ME,Lewiston city,35690,35690,"Lewiston-Auburn, ME Metropolitan Statistical Area",1,Lewiston,-70.218201,44.0956,M,-70.21834800000001,44.098553
21,46027,30460,KY,Lexington-Fayette,260512,260512,"Lexington-Fayette, KY Metropolitan Statistical Area",67,Lexington,-84.497398,38.047401,M,-84.50032,38.048593
39,43554,30620,OH,Lima city,40081,40081,"Lima, OH Metropolitan Statistical Area",3,Lima,-84.107697,40.740002,T,-84.10728899999999,40.742692
31,28000,30700,NE,Lincoln city,225581,225581,"Lincoln, NE Metropolitan Statistical Area",109,Lincoln,-96.702301,40.813099,M,-96.70773800000001,40.813623
5,41000,30780,AR,Little Rock city,183133,183133,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",119,Little Rock,-92.271202,34.7439,M,-92.274491,34.748654
49,45860,30860,UT,Logan city,42670,42670,"Logan, UT-ID Metropolitan Statistical Area",5,Logan,,,M,-111.834851,41.736182
48,43888,30980,TX,Longview city,71746,70167.586,"Longview, TX Metropolitan Statistical Area",183,Longview,-94.741699,32.496601,M,-94.74106999999999,32.500641
53,40245,31020,WA,Longview city,34660,34660,"Longview, WA Metropolitan Statistical Area",15,Longview,,,M,-122.950537,46.14681
6,44000,31084,CA,Los Angeles city,3694820,3694820,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",37,Los Angeles,-118.253,34.049999,M,-118.245321,34.053491
21,48000,31140,KY,Louisville city,256231,256231,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",111,Louisville,-85.753197,38.2533,M,-85.766401,38.254862
48,45000,31180,TX,Lubbock city,199564,199564,"Lubbock, TX Metropolitan Statistical Area",303,Lubbock,-101.847,33.584099,M,-101.845009,33.584514
51,47672,31340,VA,Lynchburg city,65269,65269,"Lynchburg, VA Metropolitan Statistical Area",680,Lynchburg,-79.142799,37.414101,M,-79.142837,37.41402
13,49000,31420,GA,Macon city,97255,97255,"Macon, GA Metropolitan Statistical Area",21,Macon,-83.628098,32.837299,M,-83.62758,32.839683
6,45022,31460,CA,Madera city,43207,43207,"Madera-Chowchilla, CA Metropolitan Statistical Area",39,Madera,,,M,-120.06399,36.962053
55,48000,31540,WI,Madison city,208054,208054,"Madison, WI Metropolitan Statistical Area",25,Madison,-89.386398,43.075298,M,-89.386691,43.072951
33,45140,31700,NH,Manchester city,107006,107006,"Manchester-Nashua, NH Metropolitan Statistical Area",11,Manchester,-71.463097,42.9939,M,-71.463089,42.991171
20,44250,31740,KS,Manhattan city,44831,44831,"Manhattan, KS Metropolitan Statistical Area",161,Manhattan,,,M,-96.561829,39.178812
27,39878,31860,MN,Mankato city,32427,32427,"Mankato-North Mankato, MN Metropolitan Statistical Area",13,Mankato,,,M,-94.002409,44.167404
39,47138,31900,OH,Mansfield city,49346,49346,"Mansfield, OH Metropolitan Statistical Area",139,Mansfield,-82.516701,40.758598,M,-82.514797,40.758514
48,45384,32580,TX,McAllen city,106414,106414,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",215,McAllen,-98.2351,26.2008,M,-98.229361,26.207423
41,47000,32780,OR,Medford city,63154,63154,"Medford, OR Metropolitan Statistical Area",29,Medford,-122.872,42.327499,M,-122.875608,42.323563
47,48000,32820,TN,Memphis city,650100,650100,"Memphis, TN-MS-AR Metropolitan Statistical Area",157,Memphis,-90.055496,35.1427,M,-90.049249,35.149763
6,46898,32900,CA,Merced city,63893,63893,"Merced, CA Metropolitan Statistical Area",47,Merced,,,M,-120.486198,37.301272
12,45000,33124,FL,Miami city,362470,362470,"Miami-Miami Beach-Kendall, FL Metropolitan Division",86,Miami,-80.191803,25.7749,M,-80.23742,25.728981
18,48798,33140,IN,Michigan City city,32900,32900,"Michigan City-La Porte, IN Metropolitan Statistical Area",91,Michigan City,,,M,-86.90316900000001,41.719364
48,48072,33260,TX,Midland city,94996,94996,"Midland, TX Metropolitan Statistical Area",329,Midland,-102.077,31.9984,M,-102.075677,32.000442
55,53000,33340,WI,Milwaukee city,596974,596974,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",79,Milwaukee,-87.907097,43.036098,M,-87.90684,43.041813
27,43000,33460,MN,Minneapolis city,382618,382618,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",53,Minneapolis,-93.267601,44.977901,M,-93.264927,44.979028
30,50200,33540,MT,Missoula city,57053,57053,"Missoula, MT Metropolitan Statistical Area",63,Missoula,,,M,-113.996229,46.872778
1,50000,33660,AL,Mobile city,198915,198915,"Mobile, AL Metropolitan Statistical Area",97,Mobile,-88.042503,30.691999,M,-88.05323799999999,30.686391
6,48354,33700,CA,Modesto city,188856,188856,"Modesto, CA Metropolitan Statistical Area",99,Modesto,-120.996,37.640301,M,-120.999588,37.638304
22,51410,33740,LA,Monroe city,53107,53107,"Monroe, LA Metropolitan Statistical Area",73,Monroe,-92.113297,32.505299,M,-92.118787,32.509831
26,55020,33780,MI,Monroe city,22076,22076,"Monroe, MI Metropolitan Statistical Area",115,Monroe,,,M,-83.397899,41.916061
1,51000,33860,AL,Montgomery city,201568,201568,"Montgomery, AL Metropolitan Statistical Area",101,Montgomery,-86.309601,32.378502,M,-86.300628,32.380122
54,55756,34060,WV,Morgantown city,26809,26809,"Morgantown, WV Metropolitan Statistical Area",61,Morgantown,,,M,-79.957849,39.630371
47,50280,34100,TN,Morristown city,24965,24965,"Morristown, TN Metropolitan Statistical Area",63,Morristown,,,M,-83.293038,36.215034
53,47560,34580,WA,Mount Vernon city,26232,26232,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",57,Mount Vernon,,,M,-122.338918,48.416176
18,51876,34620,IN,Muncie city,67430,67430,"Muncie, IN Metropolitan Statistical Area",35,Muncie,-85.385902,40.1926,M,-85.381728,40.193162
26,56320,34740,MI,Muskegon city,40105,40105,"Muskegon-Norton Shores, MI Metropolitan Statistical Area",121,Muskegon,-86.254601,43.239399,M,-86.24592800000001,43.234242
45,49075,34820,SC,Myrtle Beach city,22759,22759,"Myrtle Beach-North Myrtle Beach-Conway, SC Metropolitan Statistical Area",51,Myrtle Beach,,,M,-78.882659,33.693564
6,50258,34900,CA,Napa city,72585,72585,"Napa, CA Metropolitan Statistical Area",55,Napa,-122.288,38.297699,M,-122.285218,38.298861
12,47625,34940,FL,Naples city,20976,20976,"Naples-Marco Island, FL Metropolitan Statistical Area",21,Naples,,,M,-81.79579099999999,26.139092
47,52006,34980,TN,Nashville-Davidson (balance),545524,545524,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Are",37,Nashville,,,M,-86.778359,36.16778
36,33139,35004,NY,Hempstead village,56554,56554,"Nassau-Suffolk, NY Metropolitan Division",59,Hempstead,,,M,-73.622788,40.709913
34,51000,35084,NJ,Newark city,273546,273546,"Newark-Union, NJ-PA Metropolitan Division",13,Newark,-74.172302,40.737499,M,-74.17418000000001,40.731973
9,52000,35300,CT,New Haven city,123626,123626,"New Haven-Milford, CT Metropolitan Statistical Area",9,New Haven,-72.925003,41.305099,M,-72.92497899999999,41.307132
22,55000,35380,LA,New Orleans city,484674,484674,"New Orleans-Metairie-Kenner, LA Metropolitan Statistical Area",71,New Orleans,-90.070801,29.952499,M,-90.07775100000001,29.953701
36,51000,35644,NY,New York city,8008278,8008278,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",61,New York,-73.980797,40.756699,M,-74.00711800000001,40.71455
26,57760,35660,MI,Niles city,12199,12199,"Niles-Benton Harbor, MI Metropolitan Statistical Area",21,Niles,,,M,-86.248417,41.82844
9,56200,35980,CT,Norwich city,36117,36117,"Norwich-New London, CT Metropolitan Statistical Area",11,Norwich,-72.074997,41.524502,M,-72.07570800000001,41.526561
6,53000,36084,CA,Oakland city,399484,399484,"Oakland-Fremont-Hayward, CA Metropolitan Division",1,Oakland,-122.271,37.805302,M,-122.273019,37.805064
12,50750,36100,FL,Ocala city,45943,45943,"Ocala, FL Metropolitan Statistical Area",83,Ocala,-82.1353,29.1819,M,-82.140389,29.187521
34,54360,36140,NJ,Ocean City city,15378,15378,"Ocean City, NJ Metropolitan Statistical Area",9,Ocean City,,,M,-74.575551,39.279402
48,53388,36220,TX,Odessa city,89901,88912.094,"Odessa, TX Metropolitan Statistical Area",135,Odessa,-102.373,31.848101,M,-102.374929,31.849264
49,55980,36260,UT,Ogden city,77226,77226,"Ogden-Clearfield, UT Metropolitan Statistical Area",57,Ogden,-111.973,41.2216,M,-111.970477,41.222361
40,55000,36420,OK,Oklahoma City city,506080,506080,"Oklahoma City, OK Metropolitan Statistical Area",109,Oklahoma City,-97.522499,35.468201,M,-97.520349,35.472013
53,51300,36500,WA,Olympia city,42514,42514,"Olympia, WA Metropolitan Statistical Area",67,Olympia,-122.9,47.039902,M,-122.891359,47.039226
31,37000,36540,NE,Omaha city,390007,390007,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",55,Omaha,-95.933098,41.256699,M,-95.940589,41.260692
12,53000,36740,FL,Orlando city,185951,185951,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",95,Orlando,-81.378799,28.543501,M,-81.37738899999999,28.538234
55,60500,36780,WI,Oshkosh city,62916,62916,"Oshkosh-Neenah, WI Metropolitan Statistical Area",139,Oshkosh,-88.539803,44.017799,M,-88.544427,44.024914
21,58620,36980,KY,Owensboro city,54067,54067,"Owensboro, KY Metropolitan Statistical Area",59,Owensboro,-87.111504,37.774899,M,-87.11351000000001,37.77421
6,54652,37100,CA,Oxnard city,170358,170358,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",111,Oxnard,-119.179,34.1973,M,-119.180439,34.200343
12,54000,37340,FL,Palm Bay city,79413,79413,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",9,Palm Bay,,,M,-80.67262700000001,27.999543
12,54200,37380,FL,Palm Coast city,32732,32732,"Palm Coast, FL Metropolitan Statistical Area",35,Palm Coast,,,M,-81.230008,29.549263
12,54700,37460,FL,Panama City city,36417,36417,"Panama City-Lynn Haven-Panama City Beach, FL Metropolitan Statistical Area",5,Panama City,-85.646797,30.146799,M,-85.66033,30.159872
54,62140,37620,WV,Parkersburg city,33099,33099,"Parkersburg-Marietta-Vienna, WV-OH Metropolitan Statistical Area",107,Parkersburg,-81.561501,39.2677,M,-81.55829900000001,39.263432
28,55360,37700,MS,Pascagoula city,26200,26200,"Pascagoula, MS Metropolitan Statistical Area",59,Pascagoula,-88.556503,30.366899,M,-88.556399,30.365284
25,37490,37764,MA,Lynn city,89050,89050,"Peabody, MA Metropolitan Division",9,Lynn,,,M,-70.950219,42.463702
12,55925,37860,FL,Pensacola city,56255,56255,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",33,Pensacola,-87.215302,30.412201,M,-87.217238,30.420842
17,59000,37900,IL,Peoria city,112936,112936,"Peoria, IL Metropolitan Statistical Area",143,Peoria,-89.589996,40.691299,M,-89.58775799999999,40.692144
42,60000,37964,PA,Philadelphia city,1517550,1517550,"Philadelphia, PA Metropolitan Division",101,Philadelphia,-75.160103,39.950001,M,-75.162447,39.952283
4,55000,38060,AZ,Phoenix city,1321045,1321045,"Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area",13,Phoenix,-112.074,33.476898,M,-112.07577,33.448261
5,55310,38220,AR,Pine Bluff city,55085,55085,"Pine Bluff, AR Metropolitan Statistical Area",69,Pine Bluff,-92.001503,34.223701,M,-92.003398,34.223532
42,61000,38300,PA,Pittsburgh city,334563,334563,"Pittsburgh, PA Metropolitan Statistical Area",3,Pittsburgh,-80.001503,40.440899,M,-79.997461,40.438332
25,53960,38340,MA,Pittsfield city,45793,45793,"Pittsfield, MA Metropolitan Statistical Area",3,Pittsfield,-73.252602,42.451801,M,-73.254218,42.447381
16,64090,38540,ID,Pocatello city,51466,51466,"Pocatello, ID Metropolitan Statistical Area",5,Pocatello,,,M,-112.450568,42.874711
23,60545,38860,ME,Portland city,64249,64249,"Portland-South Portland-Biddeford, ME Metropolitan Statistical Area",5,Portland,-70.260002,43.655899,M,-70.256648,43.65914
41,59000,38900,OR,Portland city,529121,529121,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",51,Portland,-122.676,45.518501,M,-122.67563,45.511788
12,58715,38940,FL,Port St. Lucie city,88769,88769,"Port St. Lucie, FL Metropolitan Statistical Area",111,Port Saint Lucie,,,M,-80.36331,27.274184
36,59641,39100,NY,Poughkeepsie city,29871,29871,"Poughkeepsie-Newburgh-Middletown, NY Metropolitan Statistical Area",27,Poughkeepsie,-73.925697,41.702702,M,-73.929371,41.706711
4,57380,39140,AZ,Prescott city,33938,33938,"Prescott, AZ Metropolitan Statistical Area",25,Prescott,,,M,-112.468729,34.54142
44,59000,39300,RI,Providence city,173618,173618,"Providence-New Bedford-Fall River, RI-MA Metropolitan Statistical Area",7,Providence,-71.413696,41.824001,M,-71.41199,41.82387
49,62470,39340,UT,Provo city,105166,105166,"Provo-Orem, UT Metropolitan Statistical Area",49,Provo,-111.661,40.232498,M,-111.668509,40.233774
8,62000,39380,CO,Pueblo city,102121,102121,"Pueblo, CO Metropolitan Statistical Area",101,Pueblo,-104.612,38.273602,M,-104.61237,38.26386
12,58350,39460,FL,Port Charlotte CDP,46451,46451,"Punta Gorda, FL Metropolitan Statistical Area",15,Port Charlotte,,,M,-82.10162699999999,26.983424
55,66000,39540,WI,Racine city,81855,81855,"Racine, WI Metropolitan Statistical Area",101,Racine,-87.782997,42.729301,M,-87.79041100000001,42.725214
37,55000,39580,NC,Raleigh city,276093,276093,"Raleigh-Cary, NC Metropolitan Statistical Area",183,Raleigh,-78.639099,35.7766,M,-78.642669,35.785513
46,52980,39660,SD,Rapid City city,59607,59607,"Rapid City, SD Metropolitan Statistical Area",103,Rapid City,,,M,-103.23089,44.081161
42,63624,39740,PA,Reading city,81207,81207,"Reading, PA Metropolitan Statistical Area",11,Reading,-75.924797,40.335098,M,-75.92783900000001,40.336582
6,59920,39820,CA,Redding city,80865,80865,"Redding, CA Metropolitan Statistical Area",89,Redding,-122.39,40.5825,M,-122.392929,40.587513
32,60600,39900,NV,Reno city,180480,180480,"Reno-Sparks, NV Metropolitan Statistical Area",31,Reno,-119.813,39.528702,M,-119.813437,39.527381
51,67000,40060,VA,Richmond city,197790,197790,"Richmond, VA Metropolitan Statistical Area",760,Richmond,-77.437401,37.542801,M,-77.433649,37.540702
6,62000,40140,CA,Riverside city,255166,255166,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",65,Riverside,-117.376,33.980202,T,-117.373879,33.98163
51,68000,40220,VA,Roanoke city,94911,94911,"Roanoke, VA Metropolitan Statistical Area",770,Roanoke,-79.942802,37.2715,M,-79.940528,37.271521
27,54880,40340,MN,Rochester city,85806,85806,"Rochester, MN Metropolitan Statistical Area",109,Rochester,-92.463799,44.022301,M,-92.459149,44.019352
36,63000,40380,NY,Rochester city,219773,219773,"Rochester, NY Metropolitan Statistical Area",55,Rochester,-77.607498,43.1563,M,-77.61603100000001,43.155504
17,65000,40420,IL,Rockford city,150115,150115,"Rockford, IL Metropolitan Statistical Area",201,Rockford,-89.093399,42.272999,M,-89.07834699999999,42.266902
33,65140,40484,NH,Rochester city,28461,28461,"Rockingham County-Strafford County, NH Metropolitan Division",17,Rochester,,,M,-70.980357,43.305534
37,57500,40580,NC,Rocky Mount city,55893,55893,"Rocky Mount, NC Metropolitan Statistical Area",127,Rocky Mount,,,M,-77.79499,35.948841
13,66668,40660,GA,Rome city,34980,34980,"Rome, GA Metropolitan Statistical Area",115,Rome,,,M,-85.16679000000001,34.244894
6,64000,40900,CA,Sacramento city,407018,407018,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",67,Sacramento,-121.493,38.579201,M,-121.491008,38.579063
26,70520,40980,MI,Saginaw city,61799,61799,"Saginaw-Saginaw Township North, MI Metropolitan Statistical Area",145,Saginaw,-83.936501,43.432499,M,-83.946669,43.419181
27,56896,41060,MN,St. Cloud city,53125,47759.375,"St. Cloud, MN Metropolitan Statistical Area",145,Saint Cloud,-94.160301,45.560299,M,-94.19752,45.565858
49,65330,41100,UT,St. George city,49663,49663,"St. George, UT Metropolitan Statistical Area",53,Saint George,,,M,-113.5833,37.109074
29,64550,41140,MO,St. Joseph city,73990,73990,"St. Joseph, MO-KS Metropolitan Statistical Area",21,Saint Joseph,-94.851898,39.766399,M,-94.85606799999999,39.766602
29,65000,41180,MO,St. Louis city,348189,348189,"St. Louis, MO-IL Metropolitan Statistical Area",510,Saint Louis,-90.192802,38.6283,M,-90.199511,38.627744
41,64900,41420,OR,Salem city,136924,136924,"Salem, OR Metropolitan Statistical Area",47,Salem,-123.038,44.942799,M,-123.043808,44.933259
6,64224,41500,CA,Salinas city,151060,151060,"Salinas, CA Metropolitan Statistical Area",53,Salinas,-121.655,36.674599,M,-121.65482,36.670883
24,69925,41540,MD,Salisbury city,23743,23743,"Salisbury, MD Metropolitan Statistical Area",45,Salisbury,,,M,-75.59532,38.365734
49,67000,41620,UT,Salt Lake City city,181743,181743,"Salt Lake City, UT Metropolitan Statistical Area",35,Salt Lake City,-111.889,40.763599,M,-111.888231,40.759501
48,64472,41660,TX,San Angelo city,88439,88439,"San Angelo, TX Metropolitan Statistical Area",451,San Angelo,-100.439,31.4627,M,-100.442417,31.461502
48,65000,41700,TX,San Antonio city,1144646,1144646,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",29,San Antonio,-98.4907,29.426399,M,-98.494607,29.424582
6,66000,41740,CA,San Diego city,1223400,1223400,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",73,San Diego,-117.162,32.714001,M,-117.161719,32.715691
39,70380,41780,OH,Sandusky city,27844,27844,"Sandusky, OH Metropolitan Statistical Area",43,Sandusky,,,M,-82.707369,41.44876
6,67000,41884,CA,San Francisco city,776733,776733,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",75,San Francisco,-122.408,37.785702,M,-122.419639,37.777122
6,68000,41940,CA,San Jose city,894943,894943,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",85,San Jose,-121.89,37.334202,M,-121.88579,37.338474
6,68154,42020,CA,San Luis Obispo city,44174,44174,"San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",79,San Luis Obispo,,,M,-120.662521,35.285522
6,69000,42044,CA,Santa Ana city,337977,337977,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",59,Santa Ana,-117.869,33.751701,M,-117.874297,33.749584
6,69070,42060,CA,Santa Barbara city,92325,92325,"Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",83,Santa Barbara,-119.697,34.422199,M,-119.69887,34.419251
6,69112,42100,CA,Santa Cruz city,54593,54593,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",87,Santa Cruz,,,M,-122.030948,36.974021
35,70500,42140,NM,Santa Fe city,62203,62203,"Santa Fe, NM Metropolitan Statistical Area",49,Santa Fe,,,M,-105.937428,35.691512
6,70098,42220,CA,Santa Rosa city,147595,147595,"Santa Rosa-Petaluma, CA Metropolitan Statistical Area",97,Santa Rosa,-122.713,38.441399,M,-122.712418,38.437733
13,69000,42340,GA,Savannah city,131510,131510,"Savannah, GA Metropolitan Statistical Area",51,Savannah,-81.089996,32.0788,M,-81.090718,32.080781
42,69000,42540,PA,Scranton city,76415,76415,"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area",69,Scranton,-75.663902,41.408699,M,-75.660788,41.410131
